irrigation_zone,gmr,crop_group,irrigation_pattern,seasonal_norm_m3ha,start_month_day,end_month_day,source
boz,I,cotton,2-6-2,7600,05-01,09-10,Qashqadaryo p305
boz,II,cotton,2-5-1,6900,05-01,09-05,Qashqadaryo p305
boz,III,cotton,2-3-1,6600,05-11,09-05,Qashqadaryo p305
boz,V,cotton,1-3-1,4900,05-26,08-31,Qashqadaryo p305
boz,VI,cotton,1-3-1,5900,05-21,08-31,Qashqadaryo p305
boz,VII,cotton,2-4-1,5600,05-11,08-31,Qashqadaryo p305
boz,VIII,cotton,1-2-0,2300,06-06,08-25,Qashqadaryo p305
boz,IX,cotton,1-3-0,4200,06-01,08-25,Qashqadaryo p305
boz,I,alfalfa,12,10000,03-26,10-10,Qashqadaryo p305
boz,II,alfalfa,10,9600,03-26,09-20,Qashqadaryo p305
boz,III,alfalfa,8,9100,04-06,09-20,Qashqadaryo p305
boz,V,alfalfa,7,8200,04-11,09-15,Qashqadaryo p305
boz,VI,alfalfa,7,7300,04-16,09-15,Qashqadaryo p305
boz,VII,alfalfa,8,6800,04-06,09-15,Qashqadaryo p305
boz,VIII,alfalfa,5,5500,04-26,08-31,Qashqadaryo p305
boz,IX,alfalfa,5,6400,04-21,09-05,Qashqadaryo p305
boz,I,maize,9,7000,04-21,08-15,Qashqadaryo p305
boz,II,maize,7,6400,04-21,08-15,Qashqadaryo p305
boz,III,maize,6,6100,05-01,08-15,Qashqadaryo p305
boz,V,maize,5,4900,05-16,08-05,Qashqadaryo p305
boz,VI,maize,6,5800,05-11,08-10,Qashqadaryo p305
boz,VII,maize,8,5800,05-01,08-05,Qashqadaryo p305
boz,VIII,maize,4,3700,05-26,07-25,Qashqadaryo p305
boz,IX,maize,5,4600,05-21,07-31,Qashqadaryo p305
boz,I,vegetables,26,13700,03-11,10-20,Qashqadaryo p305
boz,II,vegetables,21,12400,03-21,10-15,Qashqadaryo p305
boz,III,vegetables,17,11900,04-01,10-15,Qashqadaryo p305
boz,V,vegetables,14,8800,04-16,10-10,Qashqadaryo p305
boz,VI,vegetables,16,10600,04-11,10-10,Qashqadaryo p305
boz,VII,vegetables,21,10100,04-01,10-10,Qashqadaryo p305
boz,VIII,vegetables,10,5900,04-26,09-30,Qashqadaryo p306
boz,IX,vegetables,11,7700,04-21,09-30,Qashqadaryo p306
boz,I,melons,9,4900,04-26,09-05,Qashqadaryo p306
boz,II,melons,8,4500,04-26,09-05,Qashqadaryo p306
boz,III,melons,6,4300,05-06,09-05,Qashqadaryo p306
boz,V,melons,5,3200,05-21,08-25,Qashqadaryo p306
boz,VI,melons,6,3800,05-16,08-25,Qashqadaryo p306
boz,VII,melons,6,3600,05-06,08-25,Qashqadaryo p306
boz,VIII,melons,4,2200,06-01,08-20,Qashqadaryo p306
boz,IX,melons,4,2800,05-26,08-20,Qashqadaryo p306
boz,I,orchard,8,5500,04-06,09-30,Qashqadaryo p306
boz,II,orchard,7,4800,04-11,09-25,Qashqadaryo p306
boz,III,orchard,5,4600,04-21,09-25,Qashqadaryo p306
boz,V,orchard,4,3400,05-06,09-20,Qashqadaryo p306
